label,group,group_label,target,samples,mean_delta,median_delta,std_delta,se_delta,ci95_low,ci95_high,improve_rate,worse_rate,p_normal_approx,source_sample_mae,adapter_sample_mae
seed11,recovery_long_ge90,recovery >= 90 min,affected,11541,-6.75580275553515e-05,-6.967782974243164e-05,0.001101248359654214,1.0250936753647269e-05,-8.764986359250014e-05,-4.746619151820285e-05,0.5331427086041071,0.4668572913958929,4.38569967851612e-11,1.252139166581105,1.2520716085535497
seed23,recovery_long_ge90,recovery >= 90 min,affected,11541,-0.00032669958735904704,-0.0002551078796386719,0.005020632560839965,4.67344049989166e-05,-0.00041829902115692356,-0.0002351001535611705,0.5321895849579759,0.4678104150420241,2.737942983533741e-12,1.2462433439721972,1.245916644384838
seed7,recovery_long_ge90,recovery >= 90 min,unaffected,11531,-0.00010710306269846913,-7.861852645874023e-05,0.0006622694249769576,6.167387260386216e-06,-0.00011919114172882612,-9.501498366811214e-05,0.5658659266325557,0.4341340733674443,1.4918543329305293e-67,0.5453558684412402,0.5452487653785417
seed11,recovery_long_ge90,recovery >= 90 min,unaffected,11531,-0.00029034732831505536,-0.0002353191375732422,0.0006485756871901703,6.039864260247353e-06,-0.0003021854622651402,-0.00027850919436497054,0.6984650073714336,0.30144826988118983,0.0,0.5462625166384306,0.5459721693101155
seed23,recovery_long_ge90,recovery >= 90 min,unaffected,11531,-0.00012129443833238904,-3.731250762939453e-05,0.0034031862280031883,3.1692188399062736e-05,-0.000183411127594552,-5.917774907022609e-05,0.5075882403954557,0.49241175960454425,0.00012957441337050642,0.5442985455146865,0.5441772510763541
seed7,severity_high_and_long,severity high and recovery >= 90 min,all,8029,-0.00010014981168755738,-8.779764175415039e-05,0.0005397323619316561,6.0234835668634915e-06,-0.00011195583947860983,-8.834378389650494e-05,0.5784032880807074,0.42159671191929254,4.475629204674768e-62,0.860328014949767,0.8602278651380795
seed11,severity_high_and_long,severity high and recovery >= 90 min,all,8029,-0.00017237214879387415,-0.00015395879745483398,0.0006002267912691724,6.698609289725844e-06,-0.0001855014230017368,-0.0001592428745860115,0.6284717897621124,0.3712791132145971,5.057549516642469e-146,0.8590221937492013,0.8588498216004075
seed23,severity_high_and_long,severity high and recovery >= 90 min,all,8029,-0.00013492048076235767,-8.213520050048828e-05,0.0030797286581842978,3.4370173573769627e-05,-0.00020228602096694615,-6.755494055776921e-05,0.5178727114210985,0.48212728857890147,8.654595780228325e-05,0.8554112002901247,0.8552762798093624
seed7,severity_high_and_long,severity high and recovery >= 90 min,affected,8029,-0.0001074180743780123,-0.00011992454528808594,0.0008882841876171047,9.913367409853099e-06,-0.00012684827450132438,-8.798787425470022e-05,0.5711794744052808,0.42882052559471917,2.332268123941706e-27,1.3755353087431053,1.3754278906687272
seed11,severity_high_and_long,severity high and recovery >= 90 min,affected,8029,-1.1217729257518765e-05,-2.2411346435546875e-05,0.001092232917191986,1.2189461836876804e-05,-3.51090744577973e-05,1.2673615942759772e-05,0.5094034126292191,0.49059658737078093,0.3574259726473988,1.3735767506487062,1.3735655329194487
seed23,severity_high_and_long,severity high and recovery >= 90 min,affected,8029,-0.00024091556013142697,-0.0001747608184814453,0.00528365186521571,5.8966244064469214e-05,-0.0003564893984977866,-0.00012534172176506731,0.5209864242122306,0.4790135757877693,4.3953191941868274e-05,1.3649840100101969,1.3647430944500654
seed7,severity_high_and_long,severity high and recovery >= 90 min,unaffected,8011,-9.927129406203433e-05,-7.2479248046875e-05,0.0006876950134852625,7.683383478114523e-06,-0.0001143307256791388,-8.421186244492987e-05,0.5562351766321308,0.44376482336786915,3.459810370864288e-38,0.5453780870687023,0.5452788157746402
seed11,severity_high_and_long,severity high and recovery >= 90 min,unaffected,8011,-0.00028767182933839275,-0.0002351999282836914,0.0006509877685665222,7.273265862594258e-06,-0.0003019274304290775,-0.000273416228247708,0.6964174260391961,0.3035825739608039,0.0,0.5463114471794767,0.5460237753501384
seed23,severity_high_and_long,severity high and recovery >= 90 min,unaffected,8011,-6.244790202862105e-05,-6.377696990966797e-06,0.0036289867240387203,4.0545439607689686e-05,-0.00014191696365969283,1.7021159602450734e-05,0.501310697790538,0.498689302209462,0.1235127160999756,0.544597735581751,0.5445352876797224
