threshold,floor,temperature,group,label,source_all_mae,adapter_all_mae,all_delta,source_affected_mae,adapter_affected_mae,affected_delta,source_unaffected_mae,adapter_unaffected_mae,unaffected_delta
0.5,0.1,0.25,severity_mid,1.557 < severity <= 2.578,0.6626365016545114,0.6617296245213199,-0.000906877133191486,0.9590187214722444,0.9578191071413971,-0.001199614330847365,0.5258342516781376,0.5250624892401491,-0.000771762437988488
0.5,0.1,0.25,severity_high,severity > 2.578,0.8370981774744759,0.8365360535945414,-0.0005621238799344841,1.2894421377452492,1.28955174072889,0.00010960298364071086,0.5373077252176639,0.5363004173480498,-0.0010073078696141158
0.5,0.1,0.25,recovery_short_lt30,recovery < 30 min,0.606863957265779,0.6064215226552168,-0.00044243461056225897,0.9364992472874594,0.935962125200758,-0.0005371220867013138,0.5056042168623659,0.5051908714130342,-0.00041334544933169237
0.5,0.1,0.25,recovery_mid_30_90,30 <= recovery < 90 min,0.6708174255904502,0.6697084222630686,-0.001109003327381619,1.0286134657059498,1.026589862108962,-0.002023603596987833,0.5214138842779185,0.5206868017926874,-0.000727082485231012
0.5,0.1,0.25,recovery_long_ge90,recovery >= 90 min,0.7936325467333487,0.7929460215831492,-0.0006865251501995129,1.1938029610874101,1.1936441288515294,-0.000158832235880757,0.5407746472278139,0.5397546879755523,-0.0010199592522616152
0.5,0.1,0.25,severity_high_and_long,severity high and recovery >= 90 min,0.8410932702309449,0.8405469181789149,-0.0005463520520300191,1.2770558114403372,1.2772576124072275,0.00020180096689026428,0.5417594313546809,0.5406994134045252,-0.001060017950155645
0.5,0.25,0.25,overall,all test events,0.7092097441986353,0.7085207603133997,-0.0006889838852355279,1.1046952400734757,1.1041770477008166,-0.0005181923726591542,0.5236560658487773,0.5228869520689231,-0.0007691137798542247
0.5,0.25,0.25,severity_low,severity <= 1.557,0.5708375628559612,0.5703778804444808,-0.0004596824114804221,0.8361752164416952,0.8353670709096868,-0.0008081455320084752,0.5049174934959788,0.504544386021624,-0.00037310747435481684
0.5,0.25,0.25,severity_mid,1.557 < severity <= 2.578,0.6626365016545114,0.6616809245862033,-0.0009555770683080667,0.9590187214722444,0.9577579458762003,-0.0012607755960440947,0.5258342516781376,0.5250195587053109,-0.0008146929728266583
0.5,0.25,0.25,severity_high,severity > 2.578,0.8370981774744759,0.8364947633613199,-0.0006034141131560089,1.2894421377452492,1.2895247430652,8.260531995074594e-05,0.5373077252176639,0.5362496552887478,-0.0010580699289161055
0.5,0.25,0.25,recovery_short_lt30,recovery < 30 min,0.606863957265779,0.6063967147835092,-0.000467242482269814,0.9364992472874594,0.9359351856952609,-0.0005640615921984615,0.5056042168623659,0.505166712637485,-0.00043750422488086915
0.5,0.25,0.25,recovery_mid_30_90,30 <= recovery < 90 min,0.6708174255904502,0.6696510989697574,-0.0011663266206928258,1.0286134657059498,1.0265048391061862,-0.00210862659976363,0.5214138842779185,0.5206410513673903,-0.0007728329105282095
0.5,0.25,0.25,recovery_long_ge90,recovery >= 90 min,0.7936325467333487,0.7929010152916627,-0.0007315314416860286,1.1938029610874101,1.193608100260005,-0.0001948608274051633,0.5407746472278139,0.5397039980312414,-0.0010706491965725151
0.5,0.25,0.25,severity_high_and_long,severity high and recovery >= 90 min,0.8410932702309449,0.8405054136097155,-0.000587856621229399,1.2770558114403372,1.2772314228567456,0.0001756114164084277,0.5417594313546809,0.5406474083415819,-0.0011120230130989839
0.5,0.5,0.25,overall,all test events,0.7092097441986353,0.7084693137506424,-0.0007404304479928792,1.1046952400734757,1.1041286623520887,-0.0005665777213870182,0.5236560658487773,0.5228340889919092,-0.000821976856868134
0.5,0.5,0.25,severity_low,severity <= 1.557,0.5708375628559612,0.5703443204882229,-0.0004932423677382891,0.8361752164416952,0.8353196674412199,-0.000855549000475353,0.5049174934959788,0.5045142615174975,-0.0004032319784813554
